,Builder Name,State,District,Location,Highway (mtrs),Railway (mtrs),Metro (mtrs),Bus Stop (mtrs),Closest Educational Institute Distance (m),Closest Hospital Distance (m),Closest Mall Distance (m),Closest Business Park distance (m),Flat number,Flat type (bhk),Area ,No. of bathrooms,Parking,Price per sq feet,Total price (approx),Gym,Swimming pool,Garden,Yoga area,Play area,Shopping area,ATM/Finance
65,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1702.0,2,570,2,1,22000,12540000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
66,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1703.0,2,538,2,1,22000,11836000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
67,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1704.0,2,520,2,1,22000,11440000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
68,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1801.0,1,378,1,1,22000,8316000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
69,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1802.0,2,570,2,1,22000,12540000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
70,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1803.0,2,538,2,1,22000,11836000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
71,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1804.0,2,520,2,1,22000,11440000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
72,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1901.0,1,378,1,1,22500,8505000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
73,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1902.0,2,570,2,1,22500,12825000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
74,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1903.0,2,538,2,1,22500,12105000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
75,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1904.0,2,520,2,1,22500,11700000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
76,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2001.0,1,378,1,1,22500,8505000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
77,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2002.0,2,570,2,1,22500,12825000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
78,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2003.0,2,538,2,1,22500,12105000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
79,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2004.0,2,520,2,1,22500,11700000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
80,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2101.0,1,378,1,1,22500,8505000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
81,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2102.0,2,570,2,1,22500,12825000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
82,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2103.0,2,538,2,1,22500,12105000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
83,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2104.0,2,520,2,1,22500,11700000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
84,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2201.0,1,378,1,1,22500,8505000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
85,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2202.0,2,570,2,1,22500,12825000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
86,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2203.0,2,538,2,1,22500,12105000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
87,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2204.0,2,520,2,1,22500,11700000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
88,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2301.0,1,378,1,1,22500,8505000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
89,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2302.0,2,570,2,1,22500,12825000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
90,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2303.0,2,538,2,1,22500,12105000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
91,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,2304.0,2,520,2,1,22500,11700000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
92,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,101.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
93,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,102.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
94,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,103.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
95,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,104.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
96,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,201.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
97,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,202.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
98,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,203.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
99,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,204.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
100,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,301.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
101,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,302.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
102,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,303.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
103,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,304.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
104,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,401.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
105,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,402.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
106,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,403.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
107,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,404.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
108,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,501.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
109,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,502.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
110,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,503.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
111,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,504.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
112,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,601.0,1,378,1,1,20560,7771680,1.0,0.0,1.0,1.0,1.0,0.0,0.0
113,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,602.0,2,570,2,1,20560,11719200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
114,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,603.0,2,538,2,1,20560,11061280,1.0,0.0,1.0,1.0,1.0,0.0,0.0
115,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,604.0,2,520,2,1,20560,10691200,1.0,0.0,1.0,1.0,1.0,0.0,0.0
116,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,701.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
117,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,702.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
118,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,703.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
119,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,704.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
120,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,801.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
121,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,802.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
122,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,803.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
123,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,804.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
