,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance
60,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1601,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
61,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1602,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
62,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1603,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
63,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1604,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
64,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1701,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
65,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1702,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
66,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1703,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
67,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1704,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
68,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1801,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
69,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1802,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
70,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1803,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
71,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1804,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
72,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1901,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
73,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1902,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
74,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1903,2,538,2,1,22500,12105000,1,0,1,1,1,0,0
75,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1904,2,520,2,1,22500,11700000,1,0,1,1,1,0,0
76,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2001,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
77,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2002,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
78,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2003,2,538,2,1,22500,12105000,1,0,1,1,1,0,0
79,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2004,2,520,2,1,22500,11700000,1,0,1,1,1,0,0
80,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2101,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
81,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2102,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
82,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2103,2,538,2,1,22500,12105000,1,0,1,1,1,0,0
83,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2104,2,520,2,1,22500,11700000,1,0,1,1,1,0,0
84,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2201,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
85,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2202,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
86,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2203,2,538,2,1,22500,12105000,1,0,1,1,1,0,0
87,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2204,2,520,2,1,22500,11700000,1,0,1,1,1,0,0
88,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2301,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
89,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2302,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
90,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2303,2,538,2,1,22500,12105000,1,0,1,1,1,0,0
91,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2304,2,520,2,1,22500,11700000,1,0,1,1,1,0,0
92,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,101,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
93,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,102,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
94,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,103,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
95,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,104,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
96,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,201,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
97,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,202,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
98,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,203,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
99,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,204,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
100,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,301,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
101,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,302,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
102,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,303,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
103,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,304,2,520,2,1,20560,10691200,1,0,1,1,1,0,0
104,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,401,1,378,1,1,20560,7771680,1,0,1,1,1,0,0
105,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,402,2,570,2,1,20560,11719200,1,0,1,1,1,0,0
106,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,403,2,538,2,1,20560,11061280,1,0,1,1,1,0,0
