,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance,cluster
46,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1203,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
47,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1204,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
48,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1301,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
49,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1302,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
50,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1303,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
51,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1304,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
52,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1401,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
53,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1402,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
54,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1403,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
55,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1404,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
56,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1501,1,378,1,1,22000,8316000,1,0,1,1,1,0,0,19
57,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1502,2,570,2,1,22000,12540000,1,0,1,1,1,0,0,1
58,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1503,2,538,2,1,22000,11836000,1,0,1,1,1,0,0,1
59,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1504,2,520,2,1,22000,11440000,1,0,1,1,1,0,0,1
60,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1601,1,378,1,1,22000,8316000,1,0,1,1,1,0,0,19
61,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1602,2,570,2,1,22000,12540000,1,0,1,1,1,0,0,1
62,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1603,2,538,2,1,22000,11836000,1,0,1,1,1,0,0,1
63,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1604,2,520,2,1,22000,11440000,1,0,1,1,1,0,0,1
64,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1701,1,378,1,1,22000,8316000,1,0,1,1,1,0,0,19
65,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1702,2,570,2,1,22000,12540000,1,0,1,1,1,0,0,1
66,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1703,2,538,2,1,22000,11836000,1,0,1,1,1,0,0,1
67,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1704,2,520,2,1,22000,11440000,1,0,1,1,1,0,0,1
68,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1801,1,378,1,1,22000,8316000,1,0,1,1,1,0,0,19
69,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1802,2,570,2,1,22000,12540000,1,0,1,1,1,0,0,1
70,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1803,2,538,2,1,22000,11836000,1,0,1,1,1,0,0,1
71,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1804,2,520,2,1,22000,11440000,1,0,1,1,1,0,0,1
72,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1901,1,378,1,1,22500,8505000,1,0,1,1,1,0,0,19
73,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1902,2,570,2,1,22500,12825000,1,0,1,1,1,0,0,1
74,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1903,2,538,2,1,22500,12105000,1,0,1,1,1,0,0,1
75,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1904,2,520,2,1,22500,11700000,1,0,1,1,1,0,0,1
76,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2001,1,378,1,1,22500,8505000,1,0,1,1,1,0,0,19
77,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2002,2,570,2,1,22500,12825000,1,0,1,1,1,0,0,1
78,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2003,2,538,2,1,22500,12105000,1,0,1,1,1,0,0,1
79,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2004,2,520,2,1,22500,11700000,1,0,1,1,1,0,0,1
80,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2101,1,378,1,1,22500,8505000,1,0,1,1,1,0,0,19
81,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2102,2,570,2,1,22500,12825000,1,0,1,1,1,0,0,1
82,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2103,2,538,2,1,22500,12105000,1,0,1,1,1,0,0,1
83,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2104,2,520,2,1,22500,11700000,1,0,1,1,1,0,0,1
84,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2201,1,378,1,1,22500,8505000,1,0,1,1,1,0,0,19
85,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2202,2,570,2,1,22500,12825000,1,0,1,1,1,0,0,1
86,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2203,2,538,2,1,22500,12105000,1,0,1,1,1,0,0,1
87,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2204,2,520,2,1,22500,11700000,1,0,1,1,1,0,0,1
88,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2301,1,378,1,1,22500,8505000,1,0,1,1,1,0,0,19
89,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2302,2,570,2,1,22500,12825000,1,0,1,1,1,0,0,1
90,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2303,2,538,2,1,22500,12105000,1,0,1,1,1,0,0,1
91,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,2304,2,520,2,1,22500,11700000,1,0,1,1,1,0,0,1
92,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,101,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
93,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,102,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
94,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,103,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
95,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,104,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
96,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,201,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
97,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,202,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
98,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,203,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
99,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,204,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
100,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,301,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
101,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,302,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
102,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,303,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
103,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,304,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
104,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,401,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
105,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,402,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
106,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,403,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
107,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,404,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
108,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,501,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
109,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,502,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
110,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,503,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
111,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,504,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
112,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,601,1,378,1,1,20560,7771680,1,0,1,1,1,0,0,4
113,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,602,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
114,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,603,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
115,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,604,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
116,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,701,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
117,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,702,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
118,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,703,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
119,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,704,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
120,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,801,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
121,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,802,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
122,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,803,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
123,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,804,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
124,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,901,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
125,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,902,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
126,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,903,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
127,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,904,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
128,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1001,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
129,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1002,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
130,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1003,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
131,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1004,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
132,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1101,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
133,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1102,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
134,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1103,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
135,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1104,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
136,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1201,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
137,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1202,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
138,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1203,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
139,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1204,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
